strategy,symbol,date,entry_time,entry_price,exit_time,exit_price,qty,pnl,pnl_pct,hold_minutes,entry_reason,exit_reason
vwap_pullback,NVDA,2026-05-28,2026-05-28 10:20:00-04:00,213.7918,2026-05-28 10:20:00-04:00,212.2111,46,-72.72,-0.7394,0.0,bounce off session VWAP 212.96,stop
orb,COIN,2026-05-28,2026-05-28 09:55:00-04:00,172.5763,2026-05-28 11:00:00-04:00,179.2991,57,383.2,3.8956,65.0,break of 15m opening range high 171.57,target
vwap_pullback,AMD,2026-05-28,2026-05-28 10:15:00-04:00,506.0229,2026-05-28 11:15:00-04:00,519.5844,19,257.67,2.68,60.0,bounce off session VWAP 500.61,target
vwap_pullback,PLTR,2026-05-28,2026-05-28 10:50:00-04:00,137.7088,2026-05-28 11:45:00-04:00,140.1162,72,173.33,1.7481,55.0,bounce off session VWAP 136.88,target
ema_crossover,NVDA,2026-05-28,2026-05-28 11:45:00-04:00,213.0665,2026-05-28 11:55:00-04:00,212.1939,46,-40.14,-0.4096,10.0,EMA9/20 cross up above VWAP,stop
rsi2_reversion,AMD,2026-05-28,2026-05-28 11:55:00-04:00,518.5591,2026-05-28 12:10:00-04:00,518.0909,19,-8.9,-0.0903,15.0,RSI(2)=8 dip above VWAP,signal
rsi2_reversion,COIN,2026-05-28,2026-05-28 12:15:00-04:00,179.8266,2026-05-28 12:25:00-04:00,179.88,55,2.94,0.0297,10.0,RSI(2)=7 dip above VWAP,signal
rsi2_reversion,COIN,2026-05-28,2026-05-28 12:45:00-04:00,178.8094,2026-05-28 12:55:00-04:00,179.5002,55,38.0,0.3864,10.0,RSI(2)=8 dip above VWAP,signal
rsi2_reversion,PLTR,2026-05-28,2026-05-28 12:45:00-04:00,139.6548,2026-05-28 13:05:00-04:00,139.47,71,-13.12,-0.1323,20.0,RSI(2)=10 dip above VWAP,signal
rsi2_reversion,AMD,2026-05-28,2026-05-28 13:20:00-04:00,519.4496,2026-05-28 13:25:00-04:00,519.735,19,5.42,0.0549,5.0,RSI(2)=9 dip above VWAP,signal
vwap_pullback,NVDA,2026-05-28,2026-05-28 11:45:00-04:00,213.0665,2026-05-28 13:50:00-04:00,214.913,46,84.94,0.8666,125.0,bounce off session VWAP 212.73,target
orb,PLTR,2026-05-28,2026-05-28 09:50:00-04:00,136.118,2026-05-28 13:55:00-04:00,142.2429,73,447.12,4.4997,245.0,break of 15m opening range high 135.82,target
rsi2_reversion,TSLA,2026-05-28,2026-05-28 14:15:00-04:00,441.4363,2026-05-28 14:25:00-04:00,441.4442,22,0.17,0.0018,10.0,RSI(2)=4 dip above VWAP,signal
rsi2_reversion,PLTR,2026-05-28,2026-05-28 14:30:00-04:00,141.4707,2026-05-28 14:35:00-04:00,141.6242,70,10.74,0.1085,5.0,RSI(2)=3 dip above VWAP,signal
rsi2_reversion,COIN,2026-05-28,2026-05-28 14:25:00-04:00,180.6878,2026-05-28 14:35:00-04:00,181.3743,55,37.76,0.3799,10.0,RSI(2)=9 dip above VWAP,signal
ema_crossover,AMD,2026-05-28,2026-05-28 14:25:00-04:00,520.5101,2026-05-28 14:50:00-04:00,517.8459,19,-50.62,-0.5118,25.0,EMA9/20 cross up above VWAP,signal
rsi2_reversion,AMD,2026-05-28,2026-05-28 14:50:00-04:00,518.364,2026-05-28 14:55:00-04:00,519.4901,19,21.4,0.2172,5.0,RSI(2)=5 dip above VWAP,signal
ema_crossover,TSLA,2026-05-28,2026-05-28 14:45:00-04:00,442.3461,2026-05-28 15:05:00-04:00,441.1493,22,-26.33,-0.2705,20.0,EMA9/20 cross up above VWAP,stop
rsi2_reversion,NVDA,2026-05-28,2026-05-28 15:05:00-04:00,214.2171,2026-05-28 15:10:00-04:00,214.3728,46,7.16,0.0727,5.0,RSI(2)=7 dip above VWAP,signal
ema_crossover,AMD,2026-05-28,2026-05-28 15:10:00-04:00,520.7803,2026-05-28 15:15:00-04:00,517.2413,19,-67.24,-0.6796,5.0,EMA9/20 cross up above VWAP,stop
ema_crossover,NVDA,2026-05-28,2026-05-28 12:20:00-04:00,213.1665,2026-05-28 15:30:00-04:00,214.0129,46,38.93,0.3971,190.0,EMA9/20 cross up above VWAP,signal
rsi2_reversion,MSTR,2026-05-28,2026-05-28 15:10:00-04:00,151.8859,2026-05-28 15:30:00-04:00,152.2239,65,21.97,0.2225,20.0,RSI(2)=9 dip above VWAP,signal
orb,AMD,2026-05-28,2026-05-28 10:40:00-04:00,511.1154,2026-05-28 15:55:00-04:00,517.8809,19,128.55,1.3237,315.0,break of 15m opening range high 507.90,eod
vwap_pullback,TSLA,2026-05-28,2026-05-28 10:15:00-04:00,441.7608,2026-05-28 15:55:00-04:00,441.879,22,2.6,0.0268,340.0,bounce off session VWAP 438.53,eod
orb,TSLA,2026-05-28,2026-05-28 10:15:00-04:00,441.7608,2026-05-28 15:55:00-04:00,441.879,22,2.6,0.0268,340.0,break of 15m opening range high 440.96,eod
vwap_pullback,NVDA,2026-05-29,2026-05-29 10:35:00-04:00,216.4632,2026-05-29 10:40:00-04:00,214.7105,46,-80.62,-0.8097,5.0,bounce off session VWAP 215.46,stop
orb,MSTR,2026-05-29,2026-05-29 09:50:00-04:00,151.6108,2026-05-29 11:25:00-04:00,158.2605,65,432.23,4.3861,95.0,break of 15m opening range high 151.50,target
vwap_pullback,COIN,2026-05-29,2026-05-29 11:05:00-04:00,184.6723,2026-05-29 11:40:00-04:00,190.8562,54,333.93,3.3486,35.0,bounce off session VWAP 182.08,target
rsi2_reversion,PLTR,2026-05-29,2026-05-29 12:20:00-04:00,155.6528,2026-05-29 12:30:00-04:00,155.7621,64,6.99,0.0702,10.0,RSI(2)=7 dip above VWAP,signal
rsi2_reversion,MSTR,2026-05-29,2026-05-29 12:20:00-04:00,159.8399,2026-05-29 12:35:00-04:00,159.7012,62,-8.6,-0.0868,15.0,RSI(2)=8 dip above VWAP,signal
rsi2_reversion,COIN,2026-05-29,2026-05-29 12:30:00-04:00,188.5042,2026-05-29 12:35:00-04:00,189.825,53,70.0,0.7007,5.0,RSI(2)=5 dip above VWAP,signal
rsi2_reversion,TSLA,2026-05-29,2026-05-29 12:50:00-04:00,436.8583,2026-05-29 13:00:00-04:00,437.4112,22,12.16,0.1266,10.0,RSI(2)=9 dip above VWAP,signal
rsi2_reversion,PLTR,2026-05-29,2026-05-29 13:00:00-04:00,155.4977,2026-05-29 13:20:00-04:00,155.912,64,26.52,0.2664,20.0,RSI(2)=6 dip above VWAP,signal
rsi2_reversion,NVDA,2026-05-29,2026-05-29 13:25:00-04:00,216.5482,2026-05-29 13:55:00-04:00,216.122,46,-19.61,-0.1968,30.0,RSI(2)=10 dip above VWAP,signal
ema_crossover,NVDA,2026-05-29,2026-05-29 12:05:00-04:00,215.8229,2026-05-29 14:00:00-04:00,215.4122,46,-18.89,-0.1903,115.0,EMA9/20 cross up above VWAP,signal
ema_crossover,PLTR,2026-05-29,2026-05-29 13:25:00-04:00,156.4482,2026-05-29 14:05:00-04:00,155.6421,63,-50.78,-0.5152,40.0,EMA9/20 cross up above VWAP,signal
rsi2_reversion,PLTR,2026-05-29,2026-05-29 14:00:00-04:00,155.8738,2026-05-29 14:10:00-04:00,155.932,64,3.72,0.0373,10.0,RSI(2)=5 dip above VWAP,signal
rsi2_reversion,MSTR,2026-05-29,2026-05-29 13:50:00-04:00,159.9199,2026-05-29 14:10:00-04:00,159.89,62,-1.85,-0.0187,20.0,RSI(2)=3 dip above VWAP,signal
ema_crossover,PLTR,2026-05-29,2026-05-29 14:10:00-04:00,156.088,2026-05-29 14:15:00-04:00,155.862,64,-14.46,-0.1448,5.0,EMA9/20 cross up above VWAP,signal
rsi2_reversion,TSLA,2026-05-29,2026-05-29 14:00:00-04:00,437.4686,2026-05-29 14:15:00-04:00,437.3212,22,-3.24,-0.0337,15.0,RSI(2)=7 dip above VWAP,signal
ema_crossover,TSLA,2026-05-29,2026-05-29 11:45:00-04:00,434.2539,2026-05-29 14:50:00-04:00,436.5216,23,52.16,0.5222,185.0,EMA9/20 cross up above VWAP,signal
rsi2_reversion,MSTR,2026-05-29,2026-05-29 14:50:00-04:00,159.0595,2026-05-29 15:15:00-04:00,158.5507,62,-31.55,-0.3199,25.0,RSI(2)=6 dip above VWAP,signal
rsi2_reversion,COIN,2026-05-29,2026-05-29 14:50:00-04:00,188.8494,2026-05-29 15:25:00-04:00,188.4857,52,-18.91,-0.1926,35.0,RSI(2)=4 dip above VWAP,signal
rsi2_reversion,TSLA,2026-05-29,2026-05-29 14:55:00-04:00,436.5982,2026-05-29 15:25:00-04:00,434.7975,22,-39.62,-0.4124,30.0,RSI(2)=5 dip above VWAP,signal
ema_crossover,NVDA,2026-05-29,2026-05-29 14:30:00-04:00,217.1085,2026-05-29 15:50:00-04:00,215.3923,46,-78.95,-0.7905,80.0,EMA9/20 cross up above VWAP,stop
orb,NVDA,2026-05-29,2026-05-29 09:50:00-04:00,216.4082,2026-05-29 15:50:00-04:00,212.7036,46,-170.41,-1.7118,360.0,break of 15m opening range high 216.18,stop
vwap_pullback,NVDA,2026-05-29,2026-05-29 11:10:00-04:00,215.9779,2026-05-29 15:50:00-04:00,214.6548,46,-60.86,-0.6126,280.0,bounce off session VWAP 215.41,stop
orb,PLTR,2026-05-29,2026-05-29 10:00:00-04:00,153.5818,2026-05-29 15:55:00-04:00,156.5117,65,190.45,1.9077,355.0,break of 15m opening range high 152.93,eod
orb,COIN,2026-05-29,2026-05-29 11:05:00-04:00,184.6723,2026-05-29 15:55:00-04:00,188.9155,54,229.13,2.2977,290.0,break of 15m opening range high 184.35,eod
orb,PLTR,2026-06-01,2026-06-01 09:50:00-04:00,161.4672,2026-06-01 10:25:00-04:00,156.9215,61,-277.29,-2.8152,35.0,break of 15m opening range high 161.30,stop
rsi2_reversion,MSTR,2026-06-01,2026-06-01 10:40:00-04:00,148.9744,2026-06-01 10:45:00-04:00,149.5702,67,39.91,0.3999,5.0,RSI(2)=9 dip above VWAP,signal
vwap_pullback,AMD,2026-06-01,2026-06-01 10:25:00-04:00,500.8503,2026-06-01 11:15:00-04:00,515.1495,19,271.69,2.855,50.0,bounce off session VWAP 495.06,target
rsi2_reversion,NVDA,2026-06-01,2026-06-01 10:55:00-04:00,220.2401,2026-06-01 11:20:00-04:00,219.5002,45,-33.29,-0.3359,25.0,RSI(2)=9 dip above VWAP,signal
rsi2_reversion,COIN,2026-06-01,2026-06-01 12:05:00-04:00,184.4272,2026-06-01 12:05:00-04:00,182.4916,54,-104.52,-1.0495,0.0,RSI(2)=9 dip above VWAP,stop
rsi2_reversion,MSTR,2026-06-01,2026-06-01 11:55:00-04:00,150.4352,2026-06-01 12:10:00-04:00,148.8564,66,-104.2,-1.0495,15.0,RSI(2)=6 dip above VWAP,stop
rsi2_reversion,COIN,2026-06-01,2026-06-01 12:10:00-04:00,182.5212,2026-06-01 12:20:00-04:00,180.6056,54,-103.44,-1.0495,10.0,RSI(2)=1 dip above VWAP,stop
rsi2_reversion,MSTR,2026-06-01,2026-06-01 12:15:00-04:00,149.2246,2026-06-01 12:25:00-04:00,149.5452,67,21.48,0.2149,10.0,RSI(2)=9 dip above VWAP,signal
rsi2_reversion,AMD,2026-06-01,2026-06-01 12:00:00-04:00,510.5852,2026-06-01 12:35:00-04:00,507.4511,19,-59.55,-0.6138,35.0,RSI(2)=4 dip above VWAP,signal
vwap_pullback,MSTR,2026-06-01,2026-06-01 12:25:00-04:00,149.6948,2026-06-01 12:55:00-04:00,151.9244,66,147.15,1.4894,30.0,bounce off session VWAP 148.99,target
ema_crossover,AMD,2026-06-01,2026-06-01 12:55:00-04:00,510.6223,2026-06-01 13:05:00-04:00,507.0064,19,-68.7,-0.7081,10.0,EMA9/20 cross up above VWAP,signal
rsi2_reversion,COIN,2026-06-01,2026-06-01 14:05:00-04:00,185.0675,2026-06-01 14:30:00-04:00,184.2578,54,-43.72,-0.4375,25.0,RSI(2)=7 dip above VWAP,signal
ema_crossover,COIN,2026-06-01,2026-06-01 13:10:00-04:00,183.2216,2026-06-01 14:45:00-04:00,182.9985,54,-12.05,-0.1218,95.0,EMA9/20 cross up above VWAP,signal
ema_crossover,MSTR,2026-06-01,2026-06-01 12:45:00-04:00,150.7804,2026-06-01 14:55:00-04:00,152.0289,66,82.41,0.8281,130.0,EMA9/20 cross up above VWAP,signal
rsi2_reversion,AMD,2026-06-01,2026-06-01 14:40:00-04:00,512.146,2026-06-01 14:55:00-04:00,512.0385,19,-2.04,-0.021,15.0,RSI(2)=4 dip above VWAP,signal
rsi2_reversion,PLTR,2026-06-01,2026-06-01 14:35:00-04:00,162.4313,2026-06-01 15:15:00-04:00,161.7792,61,-39.78,-0.4015,40.0,RSI(2)=5 dip above VWAP,signal
ema_crossover,AMD,2026-06-01,2026-06-01 13:20:00-04:00,509.5046,2026-06-01 15:40:00-04:00,511.0394,19,29.16,0.3012,140.0,EMA9/20 cross up above VWAP,signal
rsi2_reversion,PLTR,2026-06-01,2026-06-01 15:30:00-04:00,160.9704,2026-06-01 15:50:00-04:00,160.9895,62,1.18,0.0118,20.0,RSI(2)=10 dip above VWAP,signal
ema_crossover,NVDA,2026-06-01,2026-06-01 11:40:00-04:00,220.6202,2026-06-01 15:50:00-04:00,222.8085,45,98.47,0.9919,250.0,EMA9/20 cross up above VWAP,signal
vwap_pullback,NVDA,2026-06-01,2026-06-01 10:10:00-04:00,220.4502,2026-06-01 15:55:00-04:00,224.3078,45,173.59,1.7499,345.0,bounce off session VWAP 218.84,eod
orb,AMD,2026-06-01,2026-06-01 10:35:00-04:00,506.6932,2026-06-01 15:55:00-04:00,509.765,19,58.36,0.6062,320.0,break of 15m opening range high 504.88,eod
orb,COIN,2026-06-01,2026-06-01 09:50:00-04:00,179.8554,2026-06-01 15:55:00-04:00,182.5487,55,148.13,1.4975,365.0,break of 15m opening range high 179.54,eod
