run_date,strategy,best_params,train_expectancy,test_expectancy,default_test_expectancy,test_trades
2026-09-06,Gap & Go,n/a (too few trades),,,186.05,5
2026-09-06,Opening Range Breakout,"{'range_bars': 6, 'target_r': 1.5, 'stop_at_mid': False}",5.95,3.56,9.05,71
2026-09-06,VWAP Pullback,"{'target_r': 3.0, 'stop_buffer': 0.995}",-7.55,-25.4,-25.82,98
2026-09-06,EMA 9/20 Crossover,"{'fast': 5, 'slow': 13, 'stop_bars': 10}",0.18,-23.44,-26.48,140
2026-09-06,RSI(2) Reversion,"{'entry_level': 15.0, 'exit_level': 70.0, 'stop_pct': 0.005}",-9.03,-10.9,-12.83,218
2026-09-06,News Momentum,"{'window_min': 60, 'vol_mult': 1.5, 'target_r': 3.0}",7.95,-10.86,-34.25,14
2026-09-06,Squeeze Breakout,"{'bw_lookback': 6, 'target_r': 1.5}",-9.82,-34.11,-23.53,77
2026-09-06,High-Break ATR Trail,"{'window_bars': 6, 'trail_atr_mult': 1.5}",6.69,9.11,-7.1,81
2026-09-06,AR Forecast,"{'lags': 12, 'horizon': 12, 'threshold': 0.002}",0.09,-9.45,-12.55,198
2026-09-12,Gap & Go,n/a (too few trades),,,331.49,6
2026-09-12,Opening Range Breakout,"{'range_bars': 3, 'target_r': 1.5, 'stop_at_mid': False}",-8.2,-6.87,-0.1,126
2026-09-12,VWAP Pullback,"{'target_r': 3.0, 'stop_buffer': 0.995}",-21.16,-13.53,-15.73,159
2026-09-12,EMA 9/20 Crossover,"{'fast': 12, 'slow': 13, 'stop_bars': 5}",-11.84,-11.58,-9.62,175
2026-09-12,RSI(2) Reversion,"{'entry_level': 10.0, 'exit_level': 70.0, 'stop_pct': 0.02}",-7.49,-11.05,-12.02,277
2026-09-12,News Momentum,"{'window_min': 30, 'vol_mult': 1.2, 'target_r': 1.5}",-11.87,-18.92,0.75,18
2026-09-12,Squeeze Breakout,"{'bw_lookback': 6, 'target_r': 1.5}",-19.93,-19.45,-16.15,128
2026-09-12,High-Break ATR Trail,"{'window_bars': 12, 'trail_atr_mult': 1.5}",-16.4,-7.65,-10.98,100
2026-09-12,AR Forecast,"{'lags': 12, 'horizon': 6, 'threshold': 0.002}",-0.7,-5.85,-8.21,213
